city,region,status,launch,note
Алматы,Алматы,occupied,открыто,Флагманский контур
Астана,Астана,construction,2026 Q4,Точка в сборке
Шымкент,Шымкент,available,2027 Q1,Город открыт к заявке
Актобе,Актюбинская,available,2027 Q2,Город открыт к заявке
Караганда,Карагандинская,construction,2027 Q1,Подбор помещения
Актау,Мангистауская,available,2027 Q3,Город открыт к заявке
Павлодар,Павлодарская,available,2027 Q3,Город открыт к заявке
Кызылорда,Кызылординская,available,2027 Q2,Город открыт к заявке
Семей,Абайская,available,2027 Q4,Город открыт к заявке
Усть-Каменогорск,Восточно-Казахстанская,available,2027 Q4,Город открыт к заявке
